Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
230,09,22.8,0.0,AAA,00:00 18-Dec-2018 UTC
230,09,22.5,0.0,AAA,23:00 17-Dec-2018 UTC
240,06,21.6,0.0,AAA,22:00 17-Dec-2018 UTC
190,04,21.1,0.0,AAA,21:00 17-Dec-2018 UTC
200,04,20.6,0.0,AAA,20:00 17-Dec-2018 UTC
140,04,19.2,0.0,AAA,19:00 17-Dec-2018 UTC
140,04,18.0,0.0,AAA,18:00 17-Dec-2018 UTC
060,02,17.3,0.0,AAA,17:00 17-Dec-2018 UTC
000,00,17.3,0.0,AAA,16:00 17-Dec-2018 UTC
080,02,17.4,0.0,AAA,15:00 17-Dec-2018 UTC
130,03,18.2,0.0,AAA,14:00 17-Dec-2018 UTC
140,04,18.0,0.0,AAA,13:00 17-Dec-2018 UTC
180,05,18.9,0.0,AAA,12:00 17-Dec-2018 UTC
150,04,18.9,0.0,AAA,11:00 17-Dec-2018 UTC
180,03,19.4,0.0,AAA,10:00 17-Dec-2018 UTC
230,04,20.0,0.0,AAA,09:00 17-Dec-2018 UTC
230,05,20.0,0.0,AAA,08:00 17-Dec-2018 UTC
230,07,21.7,0.0,AAA,07:00 17-Dec-2018 UTC
230,08,21.8,0.0,AAA,06:00 17-Dec-2018 UTC
230,10,22.8,0.0,AAA,05:00 17-Dec-2018 UTC
220,12,23.7,0.0,AAA,04:00 17-Dec-2018 UTC
220,12,23.9,0.0,AAA,03:00 17-Dec-2018 UTC
240,09,24.0,0.0,AAA,02:00 17-Dec-2018 UTC
230,06,24.4,0.0,AAA,01:00 17-Dec-2018 UTC
220,04,23.8,0.0,AAA,00:00 17-Dec-2018 UTC
200,06,23.4,0.0,AAA,23:00 16-Dec-2018 UTC
200,07,21.7,0.0,AAA,22:00 16-Dec-2018 UTC
350,04,21.9,0.0,AAA,21:00 16-Dec-2018 UTC
030,04,20.5,0.0,AAA,20:00 16-Dec-2018 UTC
350,01,19.2,0.0,AAA,19:00 16-Dec-2018 UTC
030,01,17.6,0.0,AAA,18:00 16-Dec-2018 UTC
350,03,17.3,0.0,AAA,17:00 16-Dec-2018 UTC
020,04,17.7,0.0,AAA,16:00 16-Dec-2018 UTC
050,03,17.8,0.0,AAA,15:00 16-Dec-2018 UTC
010,03,17.9,0.0,AAA,14:00 16-Dec-2018 UTC
050,04,18.0,0.0,AAA,13:00 16-Dec-2018 UTC
010,04,18.1,0.0,AAA,12:00 16-Dec-2018 UTC
020,03,17.7,0.0,AAA,11:00 16-Dec-2018 UTC
010,02,18.9,0.0,AAA,10:00 16-Dec-2018 UTC
010,04,20.1,0.0,AAA,09:00 16-Dec-2018 UTC
220,04,20.1,0.0,AAA,08:00 16-Dec-2018 UTC
240,04,21.6,0.0,AAA,07:00 16-Dec-2018 UTC
240,05,22.4,0.0,AAA,06:00 16-Dec-2018 UTC
340,06,22.2,0.2,AAA,05:00 16-Dec-2018 UTC
250,03,21.5,0.4,AAA,04:00 16-Dec-2018 UTC
230,12,23.3,0.0,AAA,03:00 16-Dec-2018 UTC
230,11,23.9,0.0,AAA,02:00 16-Dec-2018 UTC
240,09,23.9,0.0,AAA,01:00 16-Dec-2018 UTC
230,07,23.7,0.0,AAA,00:00 16-Dec-2018 UTC
210,06,22.8,0.0,AAA,23:00 15-Dec-2018 UTC
210,05,22.1,0.0,AAA,22:00 15-Dec-2018 UTC
200,04,21.2,0.0,AAA,21:00 15-Dec-2018 UTC
150,03,20.1,0.0,AAA,20:00 15-Dec-2018 UTC
